Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,PlayerId
"Richie Palacios","CLE",18,77,68,16,11,4,1,1,9,9,7,0,15,1,0,0,,2,0,0.240741,0.0953678,0.19891,0.479452,0.322404,0.354938,0.301476,0.677343,0.114198,6.18677,0.297189,0,0.173929,8.29879,-0.505888,95.6225,0.173929,0.436408,-0.20537661015987396,0.11140817403793335,0.247633,750.9099731445312,,,,"24589"
"Odúbel Herrera",,21,91,84,21,13,5,0,2,10,10,5,0,17,1,1,0,,2,0,0.246106,0.0576369,0.18732,0.307692,0.293948,0.386293,0.297283,0.680241,0.140187,4.87605,0.282869,0,0.130213,9.50457,-0.90096,91.5923,0.130213,0.224043,-0.7447293102741241,0.04904255270957947,0.239849,999,,,,"11476"
"Zack Collins","CLE",23,90,76,16,9,4,0,2,9,9,13,0,27,1,1,0,,0,0,0.208481,0.140299,0.304478,0.460784,0.322388,0.367491,0.307553,0.689879,0.159011,2.8787,0.285714,0,-0.142409,10.0894,-0.156089,99.9128,-0.142409,-2.19562,-0.15120156947523355,-0.4456171989440918,0.236972,999,,,,"19181"
"Robinson Chirinos",,29,115,100,20,12,5,0,3,10,13,11,0,37,3,1,0,,0,0,0.202899,0.0962343,0.317992,0.302632,0.298319,0.352657,0.291502,0.650976,0.149758,1.90466,0.277778,0,-0.202776,11.503,-1.66968,87.5759,-0.202776,-1.944,-1.839515745639801,0.30599987506866455,0.235088,999,,,,"3142"
"Harold Castro","COL",44,189,177,52,40,8,1,4,19,26,8,0,35,0,2,1,,0,1,0.294416,0.0428571,0.183333,0.233766,0.323741,0.411168,0.31986,0.734909,0.116751,2.71194,0.345048,0,-0.466758,23.1302,1.51867,91.1086,-0.466758,-1.89046,-2.4192010164260864,-1.7154576182365417,0.233541,621.1400146484375,,,,"14691"
"Zack Short","DET",23,98,84,17,11,4,0,2,11,10,12,0,29,1,1,0,,1,1,0.202439,0.122661,0.297297,0.412587,0.307692,0.329268,0.287041,0.636961,0.126829,3.73192,0.277567,0,-0.136848,9.43825,-1.7677,86.8356,-0.136848,0.112463,-1.588611900806427,0.6624628305435181,0.230484,999,,,,"19562"
"Emmanuel Rivera","ARI",44,189,175,42,28,8,1,5,24,22,12,0,41,2,1,0,,1,0,0.242788,0.0622222,0.215556,0.28866,0.295556,0.391827,0.300883,0.687382,0.149038,4.18921,0.288026,0,-0.16918,20.2808,-1.33072,91.2599,-0.16918,-0.526852,-2.088403582572937,-2.1518521904945374,0.222454,694.8400268554688,,,,"19890"
"Sam Huff","TEX",11,45,41,9,6,1,0,2,5,6,3,0,15,0,0,0,,0,0,0.222222,0.0656168,0.343832,0.19084,0.28084,0.39886,0.296588,0.6797,0.176638,2.10143,0.29902,0,-0.0611477,4.65443,-0.46829,92.2811,-0.0611477,0.23625,-0.45028337091207504,1.1112499982118607,0.219217,657.3099975585938,,,,"22209"
"Yu Chang","BOS",19,84,76,18,11,4,1,2,10,11,6,0,23,1,1,0,,0,0,0.238971,0.0766667,0.276667,0.277108,0.303333,0.397059,0.306855,0.700392,0.158088,3.97156,0.311475,0,-0.131701,9.41222,-0.192885,93.9361,-0.131701,0.0613895,-0.7048872262239456,0.11138947680592537,0.218594,749.9500122070312,,,,"14773"
"Willi Castro","MIN",19,84,77,19,13,4,1,2,11,10,4,0,19,2,1,0,,2,1,0.248889,0.0490798,0.229039,0.214286,0.297741,0.382222,0.29806,0.679964,0.133333,5.79814,0.305136,0,0.0267945,8.82529,-0.779811,94.7726,0.0267945,0.150698,-0.46732495725154877,-0.14930233359336853,0.216165,746.8499755859375,,,,"17338"
"George Valera","CLE",19,84,73,18,12,2,0,3,10,11,9,0,25,1,0,0,,0,0,0.242678,0.109689,0.292505,0.375,0.332724,0.401674,0.324295,0.734398,0.158996,3.32075,0.323432,0,-0.213082,10.576,0.970903,111.732,-0.213082,-0.828837,0.895911380648613,-1.5288372039794922,0.214454,999,,,,"sa3006872"
"Evan White","SEA",37,161,148,32,19,6,0,7,19,22,11,0,46,1,1,0,,1,1,0.215962,0.0689655,0.284483,0.242424,0.275862,0.394366,0.29319,0.670228,0.178404,2.47432,0.26087,0,-0.268965,16.2922,-2.11762,94.7306,-0.268965,1.01044,-1.2236346006393433,-1.864559292793274,0.214159,746.6799926757812,,,,"20078"
"Matt Duffy","KCR",24,105,95,25,20,4,0,1,9,9,8,0,20,2,0,0,,1,0,0.265957,0.073955,0.189711,0.389831,0.33119,0.340426,0.301694,0.671615,0.0744681,2.3804,0.325792,0,-0.122022,11.3348,-0.671621,92.6474,-0.122022,-0.581087,-0.99077919870615,-0.35608698427677155,0.20972,748.469970703125,,,,"13836"
"Rafael Ortega","NYY",13,56,50,12,8,3,0,1,6,7,6,0,12,0,0,0,,1,1,0.240437,0.0995146,0.220874,0.450549,0.318735,0.393443,0.313289,0.712177,0.153005,4.77141,0.289474,0,-0.0800186,6.56104,0.15764,104.906,-0.0800186,0.332308,0.22911671549081802,-0.06769230961799622,0.204221,709.3400268554688,,,,"10323"
"Vidal Bruján","TBR",18,77,70,17,12,3,0,1,10,8,6,0,14,1,0,0,,4,2,0.238095,0.0764463,0.188017,0.406593,0.301653,0.353741,0.290819,0.655394,0.115646,6.47877,0.281977,0,0.0253221,7.64691,-1.15777,93.3157,0.0253221,-0.18122,-0.5538605526089668,0.0437796413898468,0.203943,584.3900146484375,,,,"20536"
"Romy Gonzalez","CHW",24,105,97,21,13,4,0,4,13,14,7,0,34,1,0,0,,2,1,0.21519,0.0645161,0.328446,0.196429,0.269795,0.376582,0.282304,0.646377,0.161392,4.1623,0.286458,0,-0.019928,9.7173,-2.28908,81.6792,-0.019928,0.433929,-2.1846482940018177,0.7589285671710968,0.20144,742.6199951171875,,,,"21562"
"Tyler Naquin","MIL",36,154,142,33,20,8,1,4,18,20,10,1,40,2,1,0,,2,1,0.229412,0.0623306,0.257453,0.242105,0.284553,0.388235,0.291869,0.672788,0.158824,4.95441,0.28692,0,-0.12202,15.4223,-2.18706,87.8313,-0.12202,0.784734,-2.2650482952594757,-0.865265965461731,0.20084,711.4099731445312,,,,"13359"
"Joey Ortiz","BAL",11,49,45,11,7,2,0,1,6,6,3,0,10,0,0,0,,0,0,0.238589,0.0648855,0.196565,0.330097,0.294455,0.363071,0.289511,0.657526,0.124481,4.70643,0.281081,0,-0.00800376,4.81529,-0.78769,87.5788,-0.00800376,0.492639,-0.6929054725915194,1.0176393389701843,0.197959,999,,,,"sa3009889"
"René Pinto","TBR",13,51,48,10,6,3,0,1,4,6,3,0,17,0,0,0,,0,0,0.217514,0.0503979,0.32626,0.154472,0.262599,0.370056,0.276566,0.632656,0.152542,2.62361,0.298643,0,-0.0650032,4.50494,-1.3496,83.2531,-0.0650032,0.2592,-1.0298826396465302,1.259200006723404,0.195298,999,,,,"19859"
"Elias Díaz","COL",96,378,347,89,59,18,1,11,40,48,26,0,73,2,2,0,,0,1,0.257053,0.0691643,0.193084,0.358209,0.311239,0.410658,0.31546,0.721898,0.153605,2.2872,0.295082,0,-0.792531,44.8914,1.71419,88.0999,-0.792531,-12.2342,-6.013230741024017,-4.859240531921387,0.192348,331.8500061035156,,,,"11680"
"Christian Encarnacion-Strand","CIN",15,63,58,15,8,3,0,3,7,11,4,0,20,1,0,0,,0,0,0.254902,0.0578662,0.312839,0.184971,0.309222,0.482353,0.339729,0.791575,0.227451,4.37107,0.330128,0,-0.00645011,8.70448,1.50065,112.577,-0.00645011,-0.848571,0.9141616877168417,-1.223571389913559,0.190068,999,,,,"sa3017756"
"Kody Clemens","PHI",28,119,109,24,14,4,1,4,14,19,8,0,32,1,1,0,,1,0,0.220812,0.0674419,0.269767,0.25,0.275058,0.403553,0.293324,0.678612,0.182741,5.33774,0.266917,0,0.0186954,12.0547,-1.55249,86.4333,0.0186954,1.05734,-1.8570197448134422,-0.36766064167022705,0.186799,750.0800170898438,,,,"20572"
"Edwin Ríos","CHC",37,161,146,31,16,7,0,8,20,24,11,0,59,3,1,0,,0,0,0.216129,0.0699708,0.364431,0.192,0.282799,0.435484,0.309827,0.718283,0.219355,2.95544,0.292398,0,-0.30883,18.4202,0.0103822,99.5129,-0.30883,-0.0689362,-0.39994463324546814,-3.293936312198639,0.180908,647.969970703125,,,,"18316"
"Dalton Guthrie","PHI",18,77,71,17,11,4,0,2,9,9,4,0,18,1,0,0,,2,1,0.240113,0.0545455,0.231169,0.235955,0.295039,0.370056,0.293394,0.665096,0.129943,5.343,0.29845,0,0.0113278,7.80441,-1.00027,86.4812,0.0113278,0.663882,-1.1980901518836617,0.23888236284255981,0.171299,999,,,,"21293"
"Zack Gelof","OAK",24,105,96,21,14,4,1,3,11,10,9,0,34,0,0,0,,2,1,0.217033,0.0827068,0.320802,0.257812,0.283208,0.357143,0.283369,0.640351,0.14011,4.85969,0.300885,0,0.0130736,9.80616,-2.20021,88.2139,0.0130736,-0.709888,-1.3795236311852932,-0.33488762378692627,0.171129,999,,,,"sa3017286"
"Jake Burger","CHW",37,161,148,33,21,5,1,6,17,21,10,0,44,2,0,0,,0,0,0.225904,0.0635359,0.276243,0.23,0.285319,0.391566,0.295707,0.676885,0.165663,2.96062,0.281818,0,-0.314711,16.6142,-1.79557,91.1417,-0.314711,-0.246522,-1.9195929765701294,-1.6215217411518097,0.166604,596.5,,,,"22275"
"Matt Thaiss","LAA",16,64,56,13,8,2,0,2,7,7,7,0,15,0,0,0,,0,0,0.224868,0.111369,0.238979,0.466019,0.315545,0.373016,0.304674,0.688561,0.148148,3.89652,0.275472,0,-0.0338033,7.06028,-0.257891,96.2048,-0.0338033,-1.42132,-0.3071338050067425,-0.17132079601287842,0.16379,744.219970703125,,,,"19318"
"Peyton Burdick","MIA",15,63,55,12,7,3,0,2,9,8,6,0,20,1,0,0,,1,0,0.210648,0.102823,0.318548,0.322785,0.308468,0.377315,0.304434,0.685783,0.166667,5.59862,0.291188,0,-0.0329296,6.93797,-0.265854,97.7943,-0.0329296,-0.0370678,-0.1943795308470726,-0.41206779703497887,0.15888,999,,,,"25459"
"Israel Pineda","WSN",13,51,48,10,6,2,0,2,5,5,3,0,15,0,0,0,,0,0,0.211699,0.0572917,0.294271,0.19469,0.260417,0.362117,0.272872,0.622534,0.150418,2.80299,0.27234,0,-0.0654739,4.35468,-1.49986,72.4021,-0.0654739,0.491116,-1.7071696668863297,1.491115778684616,0.158185,999,,,,"22906"
"Ryan McKenna","BAL",19,84,75,16,10,3,0,2,11,9,7,0,26,1,0,1,,1,1,0.215805,0.0891892,0.308108,0.289474,0.291553,0.352584,0.285161,0.644137,0.136778,5.13722,0.298077,0,-0.164364,7.96449,-1.64061,84.5078,-0.164364,0.956813,-1.6287631392478943,0.4568125009536743,0.157858,999,,,,"19928"
"Isiah Kiner-Falefa","NYY",55,238,219,55,43,9,1,3,26,22,13,1,33,3,1,1,,7,2,0.251485,0.0564663,0.140255,0.402597,0.303473,0.334653,0.282754,0.638127,0.0831683,5.42438,0.284706,0,0.541186,22.1109,-5.10358,83.3481,0.541186,-3.69823,-3.9185336232185364,-2.198228359222412,0.15367,458.04998779296875,,,,"16512"
"Andre Lipcius","DET",11,49,44,10,7,2,0,1,5,5,5,0,10,0,0,0,,0,0,0.237885,0.0998043,0.199609,0.5,0.315068,0.352423,0.297506,0.667491,0.114537,4.12127,0.287356,0,-0.0306871,5.1265,-0.476473,94.2236,-0.0306871,0.0731613,-0.34919254295527935,0.24816128611564636,0.153255,999,,,,"sa3010401"
"Luis Torrens","CHC",8,32,29,7,5,1,0,1,3,4,3,0,8,0,0,0,,0,0,0.242515,0.0790191,0.250681,0.315217,0.302452,0.39521,0.304443,0.697662,0.152695,2.09768,0.299145,0,-0.0642253,3.52428,-0.13481,95.8314,-0.0642253,-0.0471845,-0.2192082777619362,0.5778155326843262,0.150696,750.739990234375,,,,"15905"
"Colton Cowser","BAL",26,112,97,22,15,5,0,3,15,16,12,0,34,3,1,0,,2,1,0.230616,0.106713,0.304647,0.350282,0.328744,0.367793,0.312192,0.696537,0.137177,4.38928,0.32381,0,-0.0417427,13.0245,0.217695,103.591,-0.0417427,-1.34623,0.4108969159424305,-2.546232581138611,0.150342,999,,,,"sa3017018"
"Donny Sands","DET",15,58,52,12,9,2,0,1,6,5,5,0,12,0,0,0,,0,0,0.237931,0.0872274,0.202492,0.430769,0.305296,0.355172,0.293511,0.660468,0.117241,2.02333,0.281818,0,-0.0933134,5.84344,-0.742912,91.4032,-0.0933134,-0.942366,-0.6505325213074684,0.1826341152191162,0.143495,749.6099853515625,,,,"18603"
"Edouard Julien","MIN",8,35,30,6,4,1,0,1,4,4,5,0,11,0,0,0,,1,0,0.21934,0.139442,0.324701,0.429448,0.336653,0.360849,0.313948,0.697502,0.141509,5.02698,0.322709,0,0.00394929,4.11897,0.116848,105.989,0.00394929,-0.116757,0.23983515333384275,0.008243240416049957,0.143093,999,,,,"sa3014445"
